年齢,1920_人口（総数）,1920_人口（男）,1920_人口（女）,1925_人口（総数）,1925_人口（男）,1925_人口（女）,1930_人口（総数）,1930_人口（男）,1930_人口（女）,1935_人口（総数）,1935_人口（男）,1935_人口（女）,1940_人口（総数）,1940_人口（男）,1940_人口（女）,1945_人口（総数）,1945_人口（男）,1945_人口（女）,1950_人口（総数）,1950_人口（男）,1950_人口（女）,1955_人口（総数）,1955_人口（男）,1955_人口（女）,1960_人口（総数）,1960_人口（男）,1960_人口（女）,1965_人口（総数）,1965_人口（男）,1965_人口（女）,1970_人口（総数）,1970_人口（男）,1970_人口（女）,1975_人口（総数）,1975_人口（男）,1975_人口（女）,1980_人口（総数）,1980_人口（男）,1980_人口（女）,1985_人口（総数）,1985_人口（男）,1985_人口（女）,1990_人口（総数）,1990_人口（男）,1990_人口（女）,1995_人口（総数）,1995_人口（男）,1995_人口（女）,2000_人口（総数）,2000_人口（男）,2000_人口（女）,2005_人口（総数）,2005_人口（男）,2005_人口（女）,2010_人口（総数）,2010_人口（男）,2010_人口（女）,2015_人口（総数）,2015_人口（男）,2015_人口（女）
50～54歳,2234762,1122240,1112522,2450903,1223831,1227072,2830694,1410576,1420118,2832875,1404376,1428499,2887219,1456632,1430587,2948808,1506234,1442574,3421396,1733836,1687560,3876779,1941081,1935698,4231204,2053737,2177467,4691471,2187487,2503984,4841390,2172383,2669007,5781705,2616771,3164934,7200022,3546963,3653059,7932994,3926414,4006580,8088386,3997248,4091138,8921918,4421787,4500131,8921918,4421787,4500131,10441990,5210038,5231952,8796499,4383240,4413259,7644499,3809576,3834923
55～59歳,1840093,912085,928008,1990817,981235,1009582,2216103,1085866,1130237,2571137,1255092,1316045,2559541,1240737,1318804,2597278,1289547,1307731,2780034,1392572,1387462,3228362,1617760,1610602,3667376,1813371,1854005,4030134,1942543,2087591,4455213,2055135,2400078,4673649,2072676,2600973,5613505,2511379,3102126,6999745,3409374,3590371,7724888,3783367,3941521,7953480,3906621,4046859,7953480,3906621,4046859,8734172,4290239,4443933,10255164,5077369,5177795,8663734,4287489,4376245
60～64歳,1655805,803033,852772,1568341,754000,814341,1722085,820315,901770,1930611,916820,1013791,2227412,1049207,1178205,2142268,1005064,1137204,2329349,1120403,1208946,2517556,1235983,1281573,2953008,1446757,1506251,3368628,1635046,1733582,3752119,1766393,1985726,4283734,1935823,2347911,4465247,1945930,2519317,5405538,2379902,3025636,6745014,3236549,3508465,7475109,3611948,3863161,7475109,3611948,3863161,7735833,3749528,3986305,8544629,4154529,4390100,10037249,4920468,5116781
65～69歳,1312537,614479,698058,1294340,601475,692865,1255830,577193,678637,1387092,630008,757084,1555162,702545,852617,1732394,775188,957206,1789948,803800,986148,1982599,925400,1057199,2179290,1035042,1144248,2581466,1226741,1354725,3005586,1407870,1597716,3449037,1571228,1877809,3964681,1743659,2221022,4193419,1781008,2412411,5103576,2194783,2908793,6396078,2998706,3397372,6396078,2998706,3397372,7105939,3357281,3748658,7432610,3545006,3887604,8210173,3921774,4288399
70～74歳,896618,399540,497078,919180,403555,515625,926601,403984,522617,913423,394223,519200,994906,421186,573720,1095138,462867,632271,1295651,545748,749903,1392662,593776,798886,1577027,698672,878355,1760618,795372,965246,2150406,968076,1182330,2575882,1147922,1427960,3022977,1317661,1705316,3563397,1503595,2059802,3817534,1559972,2257562,4695167,1941558,2753609,4695167,1941558,2753609,5900576,2670270,3230306,6637497,3039743,3597754,6963302,3225503,3737799
75～79歳,482012,198253,283759,523014,213632,309382,551718,222451,329267,561804,224829,336975,546408,215952,330456,551891,214842,337049,693679,270523,423156,875701,342059,533642,963397,379767,583630,1106137,455411,650726,1280431,536369,744062,1641007,688306,952701,2036685,848714,1187971,2493343,1017428,1475915,3018213,1197457,1820756,3289067,1260411,2028656,3289067,1260411,2028656,4150600,1625822,2524778,5262801,2256317,3006484,5941013,2582940,3358073
80～84歳,174183,65473,108710,215834,79096,136738,245461,89183,156278,263979,95043,168936,254127,90602,163525,236741,84073,152668,279254,96600,182654,377787,133192,244595,487663,170599,317064,533914,188750,345164,656578,243532,413046,808703,307763,500940,1093643,417715,675928,1432937,542243,890694,1832858,678385,1154473,2300765,824492,1476273,2300765,824492,1476273,2614689,915268,1699421,3412393,1222635,2189758,4336264,1692584,2643680
85歳以上,76006,24696,51310,68695,21546,47149,84265,25937,58328,98661,30216,68445,103099,31023,72076,83951,26412,57539,96512,29003,67509,134122,39681,94441,190603,57103,133500,253479,74765,178714,300291,90344,209947,390800,122647,268153,529370,171959,357411,785247,255975,529272,1122414,357040,765374,1579745,479086,1100659,1579745,479086,1100659,2233348,653475,1579873,1849260,555126,1294134,2432588,744222,1688366
85～89歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840870,210586,630284,1021707,241799,779908
90～94歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211221,41426,169795,296756,55739,241017
95～99歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23873,3580,20293,41318,5598,35720
100～104歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,178,1280,2486,250,2236
105～109歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,20,78,3,75
